NOMBRE;LATITUD;LONGITUD;DIRECCIÓN;CONSORCIO ;TELEFONOS ;TIPO DE BANCA;HORARIO DE TRABAJO;LOTERIA NACIONAL;LEIDSA;LOTO REAL;LOTEKA;DEPORTIVAS ;RECARGA TARJETAS;NUMERO DE EMPLEADOS;CANTIDAD DE MAQUINAS;PROMEDIO DE CLIENTES/ DIAS;CONDICIONES DE ACCESIBILIDAD VIAL (BUENA O MALA)
LA FAMOSA;18.48335;-69.895775;Calle Pimentel;CONSORCIO DE BANCA LA FAMOSA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;3;1;2;BUENAS 
LOTEKA;18.483236;-69.89590556;Calle Pimentel;CONSORCIO DE BANCA LOTEKA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
LLUEVE;18.482478;-69.896275;Calle Tunti Caceres;CONSORCIO DE BANCA LLUEVE;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
JUANCITO SPORT;18.482939;-69.89680833;Calle Tunti Caceres;CONSORCIO DE BANCA JUANCITO SPORT;;Deportiva;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;8;3;2;BUENAS 
LA FORTUNA;18.482938;-69.89680833;Calle Tunti Caceres;CONSORCIO DE BANCA LA FORTUNA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
LOTEKA;18.48228;-69.89758056;Calle Juan Pablo Pina;CONSORCIO DE BANCA LOTEKA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
LOTEKA;18.482519;-69.89778333;Calle Juan De Morfa;CONSORCIO DE BANCA LOTEKA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
HILARIO;18.482733;-69.89823056;Calle Luis Conrado Del Castillo;CONSORCIO DE BANCA HILARIO;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
HILARIO;18.482833;-69.898625;Calle Luis Conrado Del Castillo;CONSORCIO DE BANCA HILARIO;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
LA FORTUNA;18.483114;-69.89871389;Calle Bartolomé Colon;CONSORCIO DE BANCA LA FORTUNA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;3;1;2;BUENAS 
HILARIO;18.483092;-69.89921944;Calle Bartolomé Colon;CONSORCIO DE BANCA HILARIO;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
J.B;18.482833;-69.89920278;Calle Bartolomé Colon;CONSORCIO DE BANCA J.B;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
CBO;18.482105;-69.89946389;Calle Bartolomé Colon;CONSORCIO DE BANCA CBO;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
J.A.G;18.481358;-69.90067778;Calle Barahona;CONSORCIO DE BANCA J.A.G;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
QUISQUEYA;18.481819;-69.90209444;Calle La Guardia;CONSORCIO DE BANCA QUISQUEYA;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
O&M;18.482142;-69.90342778;Calle Manuel  Ubaldo Gomez;CONSORCIO DE BANCA O&M;;Loteria;09:00 AM – 09:00 PM;SI;SI;SI;SI;NO;SI;2;1;2;BUENAS 
