NOMBRE;LATITUD;LONGITUD;DIRECCIÓN;CONSORCIO ;TIPO DE BANCA;HORARIO DE TRABAJO;LOTERIA NACIONAL;LEIDSA;LOTO REAL;LOTEKA;DEPORTIVAS ;RECARGA TARJETAS;NUMERO DE EMPLEADOS;CANTIDAD DE MAQUINAS;PROMEDIO DE CLIENTES/ DIAS;CONDICIONES DE ACCESIBILIDAD VIAL (BUENA O MALA);PRIMER LUGAR ($RD)  1;SEGUNDO LUGAR ($RD) 2;TERCER LUGAR ($RD) 3;PRIMER LUGAR ($RD) 4;SEGUNDO LUGAR ($RD) 5;TERCER LUGAR ($RD) 6;PRIMER LUGAR ($RD) 7;SEGUNDO LUGAR ($RD) 8;TERCER LUGAR ($RD) 9;Primer y Segundo lugar ($RD)10;Primer y Tercer lugar ($RD)11;Segundo Y  Tercer lugar($RD) 12;Primer y Segundo lugar ($RD)13;Primer y Tercer lugar ($RD)14;Segundo Y  Tercer lugar($RD 15;Primer y Segundo lugar ($RD)16;Primer y Tercer lugar ($RD)17;Segundo Y  Tercer lugar($RD18;Primer, Segundo y Tercer lugar ($RD)19;Primer y Segundo lugar ($RD)20;Segundo Y  Tercer lugar($RD)21;Primer, Segundo y Tercer lugar ($RD)22;Primer y Segundo lugar ($RD)23;Segundo Y  Tercer lugar($RD)24
LOTEKA;18.484658;-69.90081111;Calle Felipe Vicini Perdomo;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;105 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.484211;-69.90031667;Calle Tunti Caceres ;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;106 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
DANIEL;18.484733;-69.90016667;Calle Tunti Caceres;CONSORCIO DE BANCA DANIEL;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;107 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.484666;-69.89951111;Calle Arzobispo Valera;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;NO;2;1;108 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.485189;-69.89930556;Calle Baltazar De Los Reyes;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;109 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.485072;-69.898575;Calle Bartolomé Colon;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;NO;2;1;110 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
RICART;18.485369;-69.89787222;Calle Carlos Nouel;CONSORCIO DE BANCA RICART;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;111 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
RICART;18.484803;-69.898;Calle Ana Valverde;CONSORCIO DE BANCA RICART;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;112 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.484792;-69.89698333;Calle Ana Valverde;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;2;113 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
YESENIA;18.484813;-69.89683333;Calle Sanchez  Valverde;CONSORCIO DE BANCA YESENIA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;NO;2;1;114 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.485364;-69.89704444;Calle Sanchez  Valverde;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;NO;2;2;115 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LA FAMOSA;18.4854;-69.89611667;Calle Baltazar De Los Reyes;CONSORCIO DE BANCA LA FAMOSA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;116 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.483358;-69.89613889;Calle Pimentel;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;2;117 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.484558;-69.89585;Calle J. Puello;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;NO;2;2;118 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LA FAMOSA;18.484364;-69.89582778;Calle Pimentel;CONSORCIO DE BANCA LA FAMOSA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;119 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LA FAMOSA;18.48335;-69.895775;Calle Pimentel;CONSORCIO DE BANCA LA FAMOSA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;120 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LOTEKA;18.483236;-69.89590556;Calle Pimentel;CONSORCIO DE BANCA LOTEKA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;1;121 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LLUEVE;18.482478;-69.896275;Calle Tunti Caceres;CONSORCIO DE BANCA LLUEVE;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;1;122 USUARIOS  EN 3:30 HORAS;MALAS;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
JUANCITO SPORT;18.482939;-69.89680833;Calle Tunti Caceres;CONSORCIO DE BANCA JUANCITO SPORT;Deportiva;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;2;3;123 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
LA FORTUNA;18.482938;-69.89680833;Calle Tunti Caceres;CONSORCIO DE BANCA LA FORTUNA;Loteria;9:00:00 am 9:00:00 pm;SI;SI ;SI;SI;NO;SI;1;1;124 USUARIOS  EN 3:30 HORAS;BUENAS ;60;8;4;60;10;5;65;12;4;1000;1000;100;3000;1500;500;1300;1300;300;20000;100;100;60000;0;0
